Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Time
2020-01-01 01:11:00,Ahmedabad,IDENTITY THEFT,16,M,01:11:00
2020-01-01 06:26:00,Chennai,HOMICIDE,37,M,06:26:00
2020-01-01 14:30:00,Ludhiana,KIDNAPPING,48,F,14:30:00
2020-01-01 14:46:00,Pune,BURGLARY,49,F,14:46:00
2020-01-01 16:51:00,Pune,VANDALISM,30,F,16:51:00
2020-01-01 17:09:00,Delhi,ASSAULT,16,M,17:09:00
2020-01-01 14:08:00,Chennai,VEHICLE - STOLEN,64,F,14:08:00
2020-01-02 06:33:00,Chennai,COUNTERFEITING,78,X,06:33:00
2020-01-02 06:34:00,Mumbai,EXTORTION,41,X,06:34:00
2020-01-01 17:50:00,Chennai,PUBLIC INTOXICATION,29,M,17:50:00
2020-01-01 19:42:00,Delhi,FRAUD,71,M,19:42:00
2020-01-01 22:16:00,Surat,IDENTITY THEFT,26,M,22:16:00
2020-01-01 23:14:00,Visakhapatnam,FRAUD,36,F,23:14:00
2020-01-01 17:46:00,Mumbai,ASSAULT,32,X,17:46:00
2020-01-01 22:28:00,Bangalore,SEXUAL ASSAULT,77,F,22:28:00
2020-01-01 18:54:00,Kolkata,COUNTERFEITING,51,F,18:54:00
2020-01-02 02:57:00,Ghaziabad,DRUG OFFENSE,61,M,02:57:00
2020-01-01 23:09:00,Pune,ARSON,64,F,23:09:00
2020-01-02 10:42:00,Bangalore,CYBERCRIME,11,M,10:42:00
2020-01-02 18:02:00,Bangalore,EXTORTION,62,F,18:02:00
2020-01-02 02:33:00,Hyderabad,TRAFFIC VIOLATION,50,F,02:33:00
2020-01-02 10:11:00,Mumbai,VANDALISM,64,F,10:11:00
2020-01-01 22:03:00,Jaipur,SHOPLIFTING,69,F,22:03:00
2020-01-01 23:40:00,Chennai,VANDALISM,77,F,23:40:00
2020-01-02 20:47:00,Bangalore,DRUG OFFENSE,18,F,20:47:00
2020-01-02 08:21:00,Jaipur,ASSAULT,60,M,08:21:00
2020-01-02 04:02:00,Pune,IDENTITY THEFT,49,M,04:02:00
2020-01-02 20:11:00,Lucknow,PUBLIC INTOXICATION,41,F,20:11:00
2020-01-02 19:56:00,Bangalore,VANDALISM,33,F,19:56:00
2020-01-02 09:35:00,Bhopal,BURGLARY,37,F,09:35:00
2020-01-02 13:06:00,Bhopal,HOMICIDE,32,F,13:06:00
2020-01-02 15:05:00,Hyderabad,VANDALISM,60,M,15:05:00
2020-01-03 03:01:00,Delhi,ILLEGAL POSSESSION,73,F,03:01:00
2020-01-03 02:40:00,Patna,VEHICLE - STOLEN,24,F,02:40:00
2020-01-02 22:18:00,Kanpur,VANDALISM,34,F,22:18:00
2020-01-02 17:48:00,Chennai,COUNTERFEITING,32,F,17:48:00
2020-01-03 00:18:00,Lucknow,SEXUAL ASSAULT,33,F,00:18:00
2020-01-02 18:04:00,Varanasi,SHOPLIFTING,22,F,18:04:00
2020-01-02 21:24:00,Surat,VEHICLE - STOLEN,32,F,21:24:00
2020-01-03 14:05:00,Mumbai,FRAUD,69,F,14:05:00
2020-01-03 01:51:00,Visakhapatnam,HOMICIDE,28,F,01:51:00
2020-01-03 11:09:00,Surat,ILLEGAL POSSESSION,42,M,11:09:00
2020-01-03 09:30:00,Delhi,FIREARM OFFENSE,40,M,09:30:00
2020-01-03 08:34:00,Mumbai,SEXUAL ASSAULT,44,M,08:34:00
2020-01-03 06:22:00,Kolkata,ARSON,44,F,06:22:00
2020-01-03 09:02:00,Patna,DRUG OFFENSE,67,M,09:02:00
2020-01-03 09:55:00,Delhi,ROBBERY,47,F,09:55:00
2020-01-03 03:42:00,Lucknow,FIREARM OFFENSE,38,F,03:42:00
2020-01-03 02:59:00,Jaipur,ILLEGAL POSSESSION,77,F,02:59:00
2020-01-03 06:06:00,Hyderabad,DRUG OFFENSE,37,F,06:06:00
2020-01-03 17:10:00,Nagpur,BURGLARY,54,F,17:10:00
2020-01-03 19:13:00,Kolkata,BURGLARY,38,F,19:13:00
2020-01-03 22:01:00,Ghaziabad,PUBLIC INTOXICATION,29,M,22:01:00
2020-01-03 18:47:00,Delhi,BURGLARY,75,M,18:47:00
2020-01-03 07:47:00,Pune,FIREARM OFFENSE,61,F,07:47:00
2020-01-03 11:11:00,Meerut,BURGLARY,49,F,11:11:00
2020-01-03 20:16:00,Kanpur,SEXUAL ASSAULT,67,F,20:16:00
2020-01-03 09:43:00,Ahmedabad,ASSAULT,70,F,09:43:00
2020-01-04 02:40:00,Chennai,TRAFFIC VIOLATION,75,F,02:40:00
2020-01-04 05:33:00,Thane,SHOPLIFTING,53,F,05:33:00
2020-01-03 15:04:00,Mumbai,SHOPLIFTING,16,M,15:04:00
2020-01-04 03:32:00,Surat,DRUG OFFENSE,30,M,03:32:00
2020-01-04 09:27:00,Chennai,FRAUD,56,M,09:27:00
2020-01-03 23:24:00,Thane,ILLEGAL POSSESSION,19,F,23:24:00
2020-01-04 00:59:00,Visakhapatnam,DRUG OFFENSE,58,F,00:59:00
2020-01-04 11:49:00,Lucknow,EXTORTION,45,F,11:49:00
2020-01-04 17:48:00,Bhopal,CYBERCRIME,25,M,17:48:00
2020-01-04 08:46:00,Visakhapatnam,BURGLARY,22,M,08:46:00
2020-01-04 02:24:00,Hyderabad,PUBLIC INTOXICATION,59,F,02:24:00
2020-01-04 17:23:00,Visakhapatnam,FIREARM OFFENSE,31,F,17:23:00
2020-01-04 00:50:00,Kolkata,FIREARM OFFENSE,58,F,00:50:00
2020-01-04 11:34:00,Nagpur,ARSON,53,F,11:34:00
2020-01-04 07:58:00,Lucknow,BURGLARY,35,F,07:58:00
2020-01-04 03:01:00,Chennai,ARSON,36,M,03:01:00
2020-01-05 01:45:00,Ahmedabad,CYBERCRIME,70,F,01:45:00
2020-01-04 20:57:00,Delhi,VANDALISM,52,M,20:57:00
2020-01-04 14:30:00,Mumbai,KIDNAPPING,25,F,14:30:00
2020-01-04 17:02:00,Indore,IDENTITY THEFT,58,F,17:02:00
2020-01-05 03:40:00,Mumbai,ROBBERY,39,F,03:40:00
2020-01-04 23:54:00,Visakhapatnam,VEHICLE - STOLEN,54,F,23:54:00
2020-01-04 23:33:00,Delhi,ASSAULT,61,F,23:33:00
2020-01-04 15:37:00,Jaipur,FRAUD,16,F,15:37:00
2020-01-05 09:17:00,Mumbai,ROBBERY,25,F,09:17:00
2020-01-05 06:13:00,Kolkata,TRAFFIC VIOLATION,72,F,06:13:00
2020-01-04 12:40:00,Lucknow,PUBLIC INTOXICATION,48,M,12:40:00
2020-01-05 06:42:00,Mumbai,VANDALISM,22,M,06:42:00
2020-01-04 16:00:00,Lucknow,PUBLIC INTOXICATION,30,F,16:00:00
2020-01-04 22:04:00,Rajkot,ROBBERY,11,F,22:04:00
2020-01-04 21:21:00,Mumbai,HOMICIDE,16,F,21:21:00
2020-01-05 06:38:00,Hyderabad,VEHICLE - STOLEN,73,F,06:38:00
2020-01-05 17:15:00,Kolkata,BURGLARY,72,F,17:15:00
2020-01-05 09:21:00,Jaipur,CYBERCRIME,60,F,09:21:00
2020-01-05 07:36:00,Hyderabad,FRAUD,53,M,07:36:00
2020-01-05 08:12:00,Mumbai,SEXUAL ASSAULT,42,F,08:12:00
2020-01-04 22:16:00,Vasai,PUBLIC INTOXICATION,10,M,22:16:00
2020-01-05 14:10:00,Hyderabad,DRUG OFFENSE,51,F,14:10:00
2020-01-05 15:36:00,Nagpur,IDENTITY THEFT,26,F,15:36:00
2020-01-05 02:56:00,Kolkata,SEXUAL ASSAULT,71,M,02:56:00
